end4_path	classification	caelestia_path	adapter	schema_verified	runtime_refs	nexus_refs	note
regionSelector.targetRegions.contentRegionOpacity	REWRITE	regionSelector.targetRegions.contentRegionOpacity	identity	yes	6	4	
regionSelector.targetRegions.selectionPadding	REWRITE	regionSelector.targetRegions.selectionPadding	identity	yes	6	4	
regionSelector.rect.showAimLines	REWRITE	regionSelector.rect.showAimLines	identity	yes	8	4	
regionSelector.circle.strokeWidth	REWRITE	regionSelector.circle.strokeWidth	identity	yes	4	4	
regionSelector.circle.padding	REWRITE	regionSelector.circle.padding	identity	yes	4	4	
regionSelector.annotation.useSatty	REWRITE	regionSelector.annotation.useSatty	identity	yes	6	4	
resources.updateInterval	EXISTING	dashboard.resourceUpdateInterval	merge-existing-service	yes	8	4	
resources.historyLength	EXISTING	dashboard.resourceHistoryLength	merge-existing-service	yes	2	0	
tray.monochromeIcons	EXISTING	bar.tray.recolour	rename	yes	4	3	
tray.showItemId	EXISTING	bar.tray.showItemId	merge-bar-tray	yes	4	3	
tray.invertPinnedItems	EXISTING	bar.tray.invertPinnedItems	merge-bar-tray	yes	3	3	
tray.pinnedItems	EXISTING	bar.tray.pinnedItems	merge-bar-tray	yes	3	3	
tray.filterPassive	EXISTING	bar.tray.filterPassive	merge-bar-tray	yes	3	3	
musicRecognition.timeout	SCHEMA_ONLY	musicRecognition.timeout	identity	yes	0	0	
musicRecognition.interval	SCHEMA_ONLY	musicRecognition.interval	identity	yes	0	0	
search.nonAppResultDelay	SCHEMA_ONLY	search.nonAppResultDelay	identity	yes	0	0	
search.engineBaseUrl	SCHEMA_ONLY	search.engineBaseUrl	identity	yes	0	0	
search.excludedSites	SCHEMA_ONLY	search.excludedSites	identity	yes	0	0	
search.sloppy	REWRITE	search.sloppy	identity	yes	0	0	
search.prefix.showDefaultActionsWithoutPrefix	REWRITE	search.prefix.showDefaultActionsWithoutPrefix	identity	yes	0	0	
search.prefix.action	REWRITE	launcher.actionPrefix	merge-launcher-prefix	yes	22	0	
search.prefix.app	REWRITE	launcher.appPrefix	merge-launcher-prefix	yes	0	0	
search.prefix.clipboard	SCHEMA_ONLY	search.prefix.clipboard	identity	yes	0	0	
search.prefix.emojis	SCHEMA_ONLY	search.prefix.emojis	identity	yes	0	0	
search.prefix.keybinds	SCHEMA_ONLY	search.prefix.keybinds	identity	yes	0	0	
search.prefix.symbols	SCHEMA_ONLY	search.prefix.symbols	identity	yes	0	0	
search.prefix.math	SCHEMA_ONLY	search.prefix.math	identity	yes	0	0	
search.prefix.shellCommand	SCHEMA_ONLY	search.prefix.shellCommand	identity	yes	0	0	
search.prefix.webSearch	SCHEMA_ONLY	search.prefix.webSearch	identity	yes	0	0	
search.imageSearch.imageSearchEngineBaseUrl	SCHEMA_ONLY	search.imageSearch.imageSearchEngineBaseUrl	identity	yes	0	0	
search.imageSearch.useCircleSelection	SCHEMA_ONLY	search.imageSearch.useCircleSelection	identity	yes	4	4	
sidebar.banner	SCHEMA_ONLY	sidebar.banner	identity	yes	0	0	
sidebar.bannerImage	SCHEMA_ONLY	sidebar.bannerImage	identity	yes	0	0	
sidebar.keepRightSidebarLoaded	REWRITE	sidebar.keepRightSidebarLoaded	identity	yes	1	0	
sidebar.translator.enable	SCHEMA_ONLY	sidebar.translator.enable	identity	yes	0	0	
sidebar.translator.delay	SCHEMA_ONLY	sidebar.translator.delay	identity	yes	0	0	
sidebar.media.enable	REWRITE	sidebar.media.enable	identity	yes	0	0	
sidebar.media.artColors	REWRITE	sidebar.media.artColors	identity	yes	0	0	
sidebar.ai.textFadeIn	SCHEMA_ONLY	sidebar.ai.textFadeIn	identity	yes	0	0	
sidebar.booru.allowNsfw	SCHEMA_ONLY	sidebar.booru.allowNsfw	identity	yes	0	0	
sidebar.booru.defaultProvider	SCHEMA_ONLY	sidebar.booru.defaultProvider	identity	yes	0	0	
sidebar.booru.limit	SCHEMA_ONLY	sidebar.booru.limit	identity	yes	0	0	
sidebar.booru.zerochan.username	SCHEMA_ONLY	sidebar.booru.zerochan.username	identity	yes	0	0	
sidebar.cornerOpen.enable	REWRITE	sidebar.cornerOpen.enable	identity	yes	0	0	
sidebar.cornerOpen.bottom	REWRITE	sidebar.cornerOpen.bottom	identity	yes	0	0	
sidebar.cornerOpen.valueScroll	REWRITE	sidebar.cornerOpen.valueScroll	identity	yes	0	0	
sidebar.cornerOpen.clickless	REWRITE	sidebar.cornerOpen.clickless	identity	yes	0	0	
sidebar.cornerOpen.cornerRegionWidth	REWRITE	sidebar.cornerOpen.cornerRegionWidth	identity	yes	0	0	
sidebar.cornerOpen.cornerRegionHeight	REWRITE	sidebar.cornerOpen.cornerRegionHeight	identity	yes	0	0	
sidebar.cornerOpen.visualize	REWRITE	sidebar.cornerOpen.visualize	identity	yes	0	0	
sidebar.cornerOpen.clicklessCornerEnd	REWRITE	sidebar.cornerOpen.clicklessCornerEnd	identity	yes	0	0	
sidebar.cornerOpen.clicklessCornerVerticalOffset	REWRITE	sidebar.cornerOpen.clicklessCornerVerticalOffset	identity	yes	0	0	
sidebar.quickToggles.style	REWRITE	utilities.quickToggleStyle	merge-utilities	yes	0	0	
sidebar.quickToggles.android.columns	REWRITE	utilities.quickToggleColumns	merge-utilities	yes	0	0	
sidebar.quickToggles.android.toggles	REWRITE	utilities.quickToggles	type-size-to-id-enabled	yes	9	8	
sidebar.quickSliders.enable	SCHEMA_ONLY	sidebar.quickSliders.enable	identity	yes	0	0	
sidebar.quickSliders.showMic	SCHEMA_ONLY	sidebar.quickSliders.showMic	identity	yes	0	0	
sidebar.quickSliders.showVolume	SCHEMA_ONLY	sidebar.quickSliders.showVolume	identity	yes	0	0	
sidebar.quickSliders.showBrightness	SCHEMA_ONLY	sidebar.quickSliders.showBrightness	identity	yes	0	0	
custom.distroIcon	EXISTING	general.logo	merge-existing	yes	8	0	
custom.colorizeIcon	EXISTING	lock.recolourLogo	merge-existing	yes	4	3	
screenRecord.savePath	EXISTING	paths.screenRecordDir	merge-existing	yes	2	0	
screenSnip.savePath	EXISTING	paths.screenSnipDir	merge-existing	yes	6	4	
sounds.battery	SCHEMA_ONLY	sounds.battery	identity	yes	0	0	
sounds.pomodoro	SCHEMA_ONLY	sounds.pomodoro	identity	yes	0	0	
sounds.theme	SCHEMA_ONLY	sounds.theme	identity	yes	0	0	
time.format	DIRECT	time.format	identity	yes	2	0	
time.shortDateFormat	DIRECT	time.shortDateFormat	identity	yes	2	0	
time.dateWithYearFormat	DIRECT	time.dateWithYearFormat	identity	yes	2	0	
time.dateFormat	DIRECT	time.dateFormat	identity	yes	2	0	
time.pomodoro.breakTime	DIRECT	time.pomodoro.breakTime	identity	yes	0	0	
time.pomodoro.cyclesBeforeLongBreak	DIRECT	time.pomodoro.cyclesBeforeLongBreak	identity	yes	0	0	
time.pomodoro.focus	DIRECT	time.pomodoro.focus	identity	yes	0	0	
time.pomodoro.longBreak	DIRECT	time.pomodoro.longBreak	identity	yes	0	0	
time.secondPrecision	DIRECT	time.secondPrecision	identity	yes	2	0	
updates.enableCheck	SCHEMA_ONLY	updates.enableCheck	identity	yes	0	0	
updates.checkInterval	SCHEMA_ONLY	updates.checkInterval	identity	yes	0	0	
updates.adviseUpdateThreshold	SCHEMA_ONLY	updates.adviseUpdateThreshold	identity	yes	0	0	
updates.stronglyAdviseUpdateThreshold	SCHEMA_ONLY	updates.stronglyAdviseUpdateThreshold	identity	yes	0	0	
wallpaperSelector.useSystemFileDialog	DIRECT	nexus.useSystemFileDialog	merge-nexus	yes	6	6	
wallpaperSelector.showBlurBackground	DIRECT	nexus.showWallpaperBlurBackground	merge-nexus	yes	8	8	
wallpaperSelector.showHomePath	DIRECT	nexus.showWallpaperHomePath	merge-nexus	yes	6	6	
wallpaperSelector.userPath	DIRECT	nexus.wallpaperUserPath	merge-nexus	yes	6	6	
wallpaperSelector.showSearchbar	DIRECT	nexus.showWallpaperSearch	merge-nexus	yes	8	8	
wallpaperSelector.columns	DIRECT	nexus.wallpapersPerRow	merge-nexus	yes	12	12	
wallpaperSelector.closeAfterSelection	DIRECT	nexus.closeAfterWallpaperSelection	merge-nexus	yes	8	8	
wallpaperSelector.changeInterval	DIRECT	nexus.wallpaperChangeInterval	milliseconds-to-minutes	yes	12	8	
windows.showTitlebar	SCHEMA_ONLY	windows.showTitlebar	identity	yes	0	0	
windows.centerTitle	SCHEMA_ONLY	windows.centerTitle	identity	yes	0	0	
hacks.arbitraryRaceConditionDelay	SCHEMA_ONLY	hacks.arbitraryRaceConditionDelay	identity	yes	0	0	
workSafety.enable.wallpaper	SCHEMA_ONLY	workSafety.enable.wallpaper	identity	yes	0	0	
workSafety.enable.clipboard	SCHEMA_ONLY	workSafety.enable.clipboard	identity	yes	0	0	
workSafety.triggerCondition.networkNameKeywords	SCHEMA_ONLY	workSafety.triggerCondition.networkNameKeywords	identity	yes	0	0	
workSafety.triggerCondition.fileKeywords	SCHEMA_ONLY	workSafety.triggerCondition.fileKeywords	identity	yes	0	0	
workSafety.triggerCondition.linkKeywords	SCHEMA_ONLY	workSafety.triggerCondition.linkKeywords	identity	yes	0	0	
